time,Irr,v_wind,T_amb,T_water,P_elec_wind,P_pv,P_req,Q_provided,T_in,T_out,SOC,P_CCreq,P_bat,P_export,P_CC,Q_heat
94500.0,0.0,12.5544308950044,272.780246490818,272.854197192654,332500.0,0.0,352711.6987976569,446116.3655213965,272.854197192654,364.0578396244848,0.8913027077590719,350000.0,-9352.95114737493,350000.0,363240.37059232057,46702.333361869794
95400.0,0.0,12.5145870310641,274.042760174791,273.864208139833,332500.0,0.0,348346.4912872289,441580.7186636322,273.864208139833,364.056821711517,0.8896325379113265,350000.0,-20211.69879765692,350000.0,362577.5509082347,46617.113688201614
96300.0,0.0,13.7776646576561,275.010688701942,274.638550961554,332500.0,0.0,344999.82746099675,438103.3844862346,274.638550961554,364.05604131047085,0.8860233059831735,350000.0,-15846.491287228884,350000.0,362069.3884314805,46551.77851261893
97200.0,0.0,13.7775773880025,271.581183167649,271.894946534119,332500.0,0.0,356857.52334610873,450424.06361847615,271.894946534119,364.0588063800309,0.8831935753961683,350000.0,-12499.827460996748,350000.0,363869.8788369843,46783.2701361837
98100.0,0.0,20.2770047903448,272.304378459384,272.473502767507,0.0,0.0,354357.037562025,447825.9464700081,272.473502767507,364.05822329734826,0.8809614633495617,350000.0,-356857.52334610873,350000.0,363490.20130882337,46734.45445399158
99000.0,0.0,12.7768512882265,272.78966941522,272.861735532176,332500.0,0.0,352679.1185405918,446082.5131695372,272.861735532176,364.0578320271676,0.8172369056091852,350000.0,-21857.037562025012,350000.0,363235.42355700955,46701.697314472665
99900.0,0.0,12.7922638395914,272.916246927035,272.962997541628,332500.0,0.0,352241.4701315172,445627.77679636754,272.962997541628,364.0577299729148,0.813333863187395,350000.0,-20179.118540591793,350000.0,363168.97036330664,46693.15333242514
100800.0,0.0,12.0548839733967,271.662109581155,271.959687664924,332500.0,0.0,356577.7160121261,450133.3312186702,271.959687664924,364.058741132385,0.8097304491622893,350000.0,-19741.470131517213,350000.0,363827.3924698936,46777.80760327204
101700.0,0.0,12.2099707151417,269.853124933355,270.512499946684,332500.0,0.0,362832.3756416129,456632.20377560996,270.512499946684,364.060199642463,0.8062051866388041,350000.0,-24077.716012126126,350000.0,364777.1094099887,46899.91406699855
102600.0,0.0,12.6809193101288,273.465387174334,273.402309739467,332500.0,0.0,350342.78882436344,443654.9615558284,273.402309739467,364.057287223671,0.8019055944937816,350000.0,-30332.375641612918,350000.0,362880.67173347465,46656.08636573246
103500.0,0.0,11.8872134373288,273.391601734009,273.343281387207,332500.0,0.0,350597.9058677314,443920.03963364015,273.343281387207,364.05734671384323,0.7964890988434936,350000.0,-17842.788824363437,350000.0,362919.4090896453,46661.06688295441
104400.0,0.0,11.4475740460957,272.937550086523,272.980040069219,332500.0,0.0,352167.81333636586,445551.24407468527,272.980040069219,364.0577127970516,0.7933028865534287,350000.0,-18097.905867731373,350000.0,363157.78620457544,46691.715369159705
105300.0,0.0,11.5266980154582,275.910964515552,275.358771612442,332500.0,0.0,341887.0764525027,434869.0962429032,275.358771612442,364.05531545503106,0.7900711176484767,350000.0,-19667.813336365856,350000.0,361596.74362933525,46491.00989520026
106200.0,0.0,9.93219379456133,273.028837240778,273.053069792623,1608295.973853946,0.0,351852.18319594226,445223.29016843723,273.053069792623,364.0576391959657,0.7865590081241257,0.0,1083269.5545048958,183139.3428965474,363109.8604485915,46685.55348624749
107100.0,0.0,9.59550696207529,274.574218224157,274.289374579326,1446129.2796665586,0.0,346508.9471100688,439671.4276498076,274.289374579326,364.05639321870365,0.98,0.0,0.0,1094277.0964706163,362298.5354323176,46581.24026986941
108000.0,0.0,11.0543101246145,271.018955323081,271.445164258465,2225494.1665111925,0.0,358801.45570964005,452443.8967410241,271.445164258465,364.05925968126724,0.98,0.0,0.0,1878985.2194011237,364165.0484553825,46821.220515692046
108900.0,0.0,9.45168158750979,274.043174007921,273.864539206337,1383413.0407420916,0.0,348345.0604374014,441579.23194633203,273.864539206337,364.05682137786033,0.98,0.0,0.0,1024611.5850324515,362577.33364584146,46617.08575446534
109800.0,0.0,9.74415814851635,273.780862015585,273.654689612468,1516581.767415992,0.0,349252.0179567982,442521.60158469423,273.654689612468,364.05703286925404,0.98,0.0,0.0,1168236.7069785907,362715.0474418179,46634.79181394802
110700.0,0.0,9.50975837160856,276.073472325236,275.488777860188,1403862.7358876576,0.0,341325.1971474829,434285.2783835761,275.488777860188,364.0551844316537,0.98,0.0,0.0,1054610.7179308594,361511.4270292511,46480.04061804658
111600.0,0.0,9.70093483357539,274.050371905997,273.870297524798,1495752.2561338579,0.0,348320.17332596594,441553.3731186564,273.870297524798,364.0568155744905,0.98,0.0,0.0,1154427.058986375,362573.5547493516,46616.59989634521
112500.0,0.0,8.9435479794321,275.654580604042,275.153664483234,1168630.1451514491,0.0,342773.53732043854,435790.1689388929,275.153664483234,364.0555221668565,0.98,0.0,0.0,820309.9718254833,361731.34518287797,46508.31580922718
113400.0,0.0,15.1694799303372,272.488785684523,272.621028547619,332500.0,0.0,353719.4398754599,447163.4538080493,272.621028547619,364.05807461737095,0.98,350000.0,-10273.53732043854,350000.0,363393.38751562545,46722.006966294706
114300.0,0.0,8.2650931885673,271.827332315574,272.09186585246,928816.9108052646,0.0,356006.4497119354,449539.7598493329,272.09186585246,364.05860792007525,0.9781654397642073,0.0,10273.53732043883,564823.933609366,363740.65053432365,46766.65506869876
115200.0,0.0,9.41527120135255,274.755491870163,274.434393496131,1365708.8939450574,0.0,345882.18393828406,439020.19253581204,274.434393496131,364.0562470652026,0.98,0.0,0.0,1009702.444233122,362203.36676816444,46569.004298764004
116100.0,34.7665874773421,9.35671729023472,275.082156152588,274.695724922071,1339588.1791468835,56970.39134941869,344752.72498894256,437846.6339083432,274.695724922071,364.0559836891985,0.98,0.0,0.0,1050676.3865580182,362031.8680198913,46546.95445970032
117000.0,11.2923095116145,10.1419277548414,273.313877214846,273.281101771877,1711454.5383290632,18564.086719678635,350866.6424834999,444199.2690594957,273.281101771877,364.05740937993306,0.98,0.0,0.0,1385265.9000597994,362960.2144622059,46666.31328799791
117900.0,7.50218647406613,9.43637620698014,271.175263973987,271.570211179189,1383956.812087077,12381.415060990663,358261.010322365,451882.34968587675,271.570211179189,364.05913365601714,0.98,0.0,0.0,1045471.5846645678,364082.9864136568,46810.669681755884
118800.0,41.0893463463791,8.50357402622309,272.620186861212,272.726149488969,1010089.7655215169,67634.68462597868,353265.11339121166,446691.38816494803,272.726149488969,364.0579686739951,0.98,0.0,0.0,719463.4398251306,363324.4018978637,46713.1373868682
119700.0,59.3983883057441,7.36296895802967,273.164899838414,273.161919870731,655060.1073659839,97675.02457021747,351381.7396034297,444734.4781252438,273.161919870731,364.05752949427745,0.98,0.0,0.0,399470.0185449897,363038.4275848327,46676.36926090707
120600.0,56.784380401023,8.16015793376324,271.90770354606,272.156162836848,893755.031224774,93590.70345369638,355728.5619524688,449251.02197375067,272.156162836848,364.0585431200507,0.98,0.0,0.0,635963.9950750406,363698.4556383185,46761.23001064095
121500.0,88.3432413756817,8.45670984586511,274.915461632317,274.562369305854,989320.8102744153,144808.1434708699,345329.08006617625,438445.49274581345,274.562369305854,364.0561180881488,0.98,0.0,0.0,778400.3917928165,362119.38264303363,46558.206339818615
122400.0,104.832789777072,9.37392488019303,273.147382803562,273.14790624285,1351763.0644942396,172393.10425291798,351442.3056733771,444797.4089948962,273.14790624285,364.05754361754373,0.98,0.0,0.0,1178827.0886809812,363047.62402812997,46677.55166075958
123300.0,112.07904254025,8.89492920148777,274.051961968635,273.871569574908,1153042.0084137707,184005.1084037571,348314.67560070934,441547.66073494364,273.871569574908,364.0568142924883,0.98,0.0,0.0,985604.8111441508,362572.71996646666,46616.49256711715
124200.0,124.054733380647,10.199390166357,271.769717220425,272.04577377634,1745642.8058548504,204515.49814443514,356205.65693579,449746.7451110326,272.04577377634,364.05865437276185,0.98,0.0,0.0,1601843.6283985763,363770.8984592769,46770.544087621325
125100.0,129.072426725537,9.06854833062983,273.613376764349,273.520701411479,1222866.893486099,212073.72463842106,349831.1070279607,443123.30116477364,273.520701411479,364.05716790573825,0.98,0.0,0.0,1078734.9611887303,362802.9771987168,46646.09706840645
126000.0,139.271326426477,9.73846198434337,272.185517400928,272.378413920743,1518352.555229994,229427.70705468408,354768.0059274782,448252.9610783529,272.378413920743,364.0583191301414,0.98,0.0,0.0,1397949.1552567175,363552.6033645128,46742.47757543737
126900.0,131.050246608374,8.76044928147903,270.443748141881,270.984998513505,1108842.7836800741,216569.54295531326,360790.26481270127,454510.3588135474,270.984998513505,364.05972344721,0.98,0.0,0.0,970644.3207079093,364467.03222551255,46860.047000423045
127800.0,93.3165661188522,10.2526171605228,271.536622199825,271.85929775986,1773874.1398271634,153906.0917826406,357011.5952376735,450584.15124069713,271.85929775986,364.0588423077104,0.98,0.0,0.0,1566989.9667971027,363893.27334509185,46786.27800151182
128700.0,103.989069716099,10.9080565987435,272.510900731271,272.638720585017,2132478.206152772,171204.2037098731,353642.9759373807,447084.0043386591,272.638720585017,364.0580567869164,0.98,0.0,0.0,1946670.8146249715,363381.7771160827,46720.51420063921
129600.0,182.753824872315,10.6847424286164,276.33038807822,275.694310462576,1990239.14780509,298785.8430536593,340436.8974096554,433362.29501909565,275.694310462576,364.05497729102626,0.98,0.0,0.0,1935382.0149213688,361376.54625893454,46462.69880472016
130500.0,123.962423286132,11.0019141783464,274.678005788282,274.372404630625,2179344.1506509758,203281.76107194772,346150.09614460776,439298.5653631897,274.372404630625,364.0563095390503,0.98,0.0,0.0,2042189.0143132682,362244.04696115194,46574.23460929097
131400.0,127.235107828016,11.1411598455705,272.489676021669,272.621740817335,2272220.962618795,209483.82224553401,353716.3614879212,447160.2552249959,272.621740817335,364.05807389952867,0.98,0.0,0.0,2135554.6887197215,363392.92008862377,46721.94686853734
132300.0,151.429674103365,12.4542078572101,274.634088166559,274.337270533247,332500.0,248344.32261707043,346301.94363316696,439456.3417306815,274.337270533247,364.05634494802626,0.98,0.0,0.0,227127.9611291492,362267.10371255653,46577.19904875728
133200.0,142.305117349328,18.4137566542599,273.355071109692,273.314056887754,332500.0,233926.10222011336,350724.2124239692,444051.27782416076,273.314056887754,364.05737616698633,0.98,0.0,0.0,220124.15858694643,362938.58766741166,46663.53270009579
134100.0,104.978310154291,12.6987907492512,272.522811118609,272.648248894887,332500.0,172829.1058199718,353601.7951462988,447041.2156452866,272.648248894887,364.0580471840599,0.98,0.0,0.0,154604.8933960026,363375.52416273026,46719.710249493895
135000.0,128.921797717114,11.2383629280706,270.709514382048,271.197611505638,2339848.3837744724,212949.34563541552,359871.36404962966,453555.5796080532,271.197611505638,364.05950917079804,0.98,0.0,0.0,2199195.934263589,364327.5049494248,46842.10777921177
135900.0,114.788788998931,12.2407268900682,275.848928845745,275.309143076596,332500.0,187835.00374790005,342101.5680458974,435091.9626517219,275.309143076596,364.05536547184556,0.98,0.0,0.0,160463.63969827036,361629.3123559838,46495.19730291222
136800.0,87.14984424337,11.5240640939042,272.09612874205,272.30690299364,332500.0,143589.09551395848,355077.07192021783,448574.09454004106,272.30690299364,364.0583912005484,0.98,0.0,0.0,133987.52746806107,363599.5324104238,46748.51130991164
137700.0,105.320295636074,11.8195293210876,273.419743842913,273.36579507433,332500.0,173108.73165489707,350500.6030450332,443818.93762623996,273.36579507433,364.0573240240158,0.98,0.0,0.0,150531.65973467927,362904.63448247063,46659.16729060337
138600.0,49.1312641257547,13.8424495292656,273.856699648264,273.715359718611,332500.0,80689.744150368,348989.80535035714,442249.1508978415,273.715359718611,364.05697172448333,0.98,0.0,0.0,62689.14110533486,362675.2326846614,46629.67277374219
139500.0,91.8628849473555,12.0208328217075,274.459727356204,274.197781884963,332500.0,150702.9751513726,346904.80531185435,440082.74211876676,274.197781884963,364.0564855279916,0.98,0.0,0.0,134213.16980101547,362358.6431379929,46588.96840345624
140400.0,70.7618000197987,13.0590307864727,275.394243140978,274.945394512782,332500.0,115887.8219895449,343673.6678009577,436725.4449769256,274.945394512782,364.0557320662683,0.98,0.0,0.0,101483.01667769055,361868.02235098655,46525.888587983995
141300.0,60.1853146735219,11.6405507372831,270.795840023979,271.266672019183,332500.0,99396.798291719,359572.8885991976,453245.45019596047,271.266672019183,364.0594395699759,0.98,0.0,0.0,88223.13049076131,364282.18398741103,46836.28079838143
142200.0,18.2143967745495,12.5484377509056,271.612666785181,271.920133428145,332500.0,30036.66956735614,356748.6670814577,450310.9570654583,271.920133428145,364.0587809960822,0.98,0.0,0.0,2963.780968158506,363853.34993778,46781.14499200029
143100.0,2.10910088643058,11.7777116969354,271.80259566831,272.072076534648,332500.0,3476.83638770181,356091.97797178314,449628.62755656126,272.072076534648,364.0586278642187,0.98,350000.0,-20771.83069375588,350000.0,363753.63727413723,46768.32479238908
144000.0,3.15533417127486,11.6165053424911,271.44894795368,271.789158362944,332500.0,5204.891440899555,357314.73355815373,450899.125584407,271.789158362944,364.05891299585676,0.9762907445189721,350000.0,-18387.086530883564,350000.0,363939.302324318,46792.19601312661
144900.0,0.0,12.264916058299,269.606916676875,270.3155333415,332500.0,0.0,363683.65364672174,457516.71989534365,270.3155333415,364.0603981500754,0.9730073362098858,350000.0,-24814.733558153734,350000.0,364906.36874464067,46916.533124310954
145800.0,0.0,13.0423846089903,270.280001161517,270.854000929214,332500.0,0.0,361356.428615571,455098.62845876615,270.854000929214,364.05985546967986,0.9685761337887869,350000.0,-31183.653646721737,350000.0,364552.99939020356,46871.099921597604
146700.0,0.0,11.4687311234811,273.711188936141,273.598951148913,332500.0,0.0,349492.9162959793,442771.9057896002,273.598951148913,364.0570890437985,0.9630076242090152,350000.0,-28856.428615571,350000.0,362751.625808526,46639.494746810495
147600.0,0.0,11.1912622353112,274.882676622218,274.536141297775,2292957.7451773765,0.0,345442.4359641197,438563.27462012024,274.536141297775,364.0561445213569,0.9578546905276633,0.0,124013.73304508567,1819451.0958363118,362136.5947733355,46560.41932800028
148500.0,0.0,11.1157013903878,272.864010448474,272.921208358779,2255132.774063756,0.0,352422.0805054311,445815.4390948872,272.921208358779,364.05777208904357,0.98,0.0,0.0,1909690.3380996366,363196.39451455115,46696.67929472801
149400.0,0.0,10.6202558532014,275.01958454491,274.645667635928,1959094.0809389488,0.0,344969.0696157344,438071.4257021715,274.645667635928,364.05603413811775,0.98,0.0,0.0,1606672.0004335176,362064.7181139223,46551.17804321859
150300.0,0.0,11.0734865794661,272.176960893909,272.371568715127,2232345.8027881477,0.0,354797.5905008423,448283.7007801647,272.371568715127,364.05832602890183,0.98,0.0,0.0,1887376.7331724134,363557.0955306978,46743.055139661155
151200.0,0.0,10.1274648734249,273.635416334699,273.538333067759,1703140.995410716,0.0,349754.9040534982,443044.1228483139,273.538333067759,364.0571501361372,0.98,0.0,0.0,1348343.4049098736,362791.406424283,46644.609397407825
152100.0,0.0,10.5485179578498,272.022149919842,272.247719935874,1930216.246394686,0.0,355332.8575916225,448839.86735244386,272.247719935874,364.05845084663656,0.98,0.0,0.0,1580461.3423411879,363638.37129208294,46753.50488041067
153000.0,0.0,10.1503108615184,276.190065365762,275.58205229261,1706719.0783734587,0.0,340922.0705733832,433866.4117490054,275.58205229261,364.0550904274703,0.98,0.0,0.0,1351386.2207818362,361450.21568297496,46472.17058781107
153900.0,0.0,10.9278185074779,273.94223379036,273.783787032288,2138479.835734335,0.0,348694.06655226246,441941.8649905639,273.783787032288,364.05690276181497,0.98,0.0,0.0,1797557.7651609515,362630.327260061,46623.899219150706
154800.0,0.0,9.30126484158442,271.00949876273,271.437599010184,1325760.5930551088,0.0,358834.1522647683,452477.86993179977,271.437599010184,364.0592673057037,0.98,0.0,0.0,977066.5265028463,364170.0131495667,46821.858833515726
155700.0,0.0,9.21356537345376,272.871327944086,272.927062355269,1284218.2784022014,0.0,352396.7798792194,445789.1506067678,272.927062355269,364.0577661892472,0.98,0.0,0.0,925384.1261374331,363192.5528293549,46696.18536377421
156600.0,0.0,8.94856502621744,272.683934874744,272.777147899795,1176968.8023172666,0.0,353044.7012792643,446462.3700711739,272.777147899795,364.0579172765881,0.98,0.0,0.0,824572.0224380472,363290.9341907594,46708.834395954786
157500.0,0.0,9.32397812908518,274.565500923909,274.282400739127,1326826.0671458968,0.0,346539.08763448417,439702.74500975653,274.282400739127,364.05640024710505,0.98,0.0,0.0,973781.3658666326,362303.1120149478,46581.82868763615
158400.0,0.0,8.98105401407171,272.159589954061,272.357671963249,1190978.9305684913,0.0,354857.6514396251,448346.1067958269,272.357671963249,364.0583400343777,0.98,0.0,0.0,844439.8429340072,363566.215274118,46744.2276781009
159300.0,0.0,9.11865145525259,270.630914893761,271.134731915009,1250066.6684809101,0.0,360143.12591719447,453837.95240653673,271.134731915009,364.0595725423396,0.98,0.0,0.0,895209.017041285,364368.76968077547,46847.41324467114
160200.0,0.0,8.25019238401987,272.874742825075,272.92979426006,922030.3006035204,0.0,352384.9727484702,445776.8824670851,272.92979426006,364.0577634359688,0.98,0.0,0.0,561887.174686326,363190.7600168356,46695.95485930744
161100.0,0.0,9.01354804035988,272.450638143495,272.590510514796,1203310.6281046856,0.0,353851.3370063322,447300.50085696037,272.590510514796,364.0581053741676,0.98,0.0,0.0,850925.6553562153,363413.41497466515,46724.581925314094
162000.0,0.0,8.87463157027515,273.875725624846,273.730580499877,1145535.4543251519,0.0,348924.02203495585,442180.7990756017,273.730580499877,364.05695638461924,0.98,0.0,0.0,791684.1173188197,362665.2440469559,46628.38852032291
162900.0,0.0,7.3727482900244,274.701838116162,274.391470492929,655828.6530589893,0.0,346067.69461662957,439212.94647094776,274.391470492929,364.0562903240224,0.98,0.0,0.0,306904.6310240335,362231.53498901497,46572.625927159075
163800.0,0.0,8.48936399477907,272.843800588439,272.905040470751,1004622.827957382,0.0,352491.95716017904,445888.04408073984,272.905040470751,364.0577883834243,0.98,0.0,0.0,658555.1333407525,363207.00469106954,46698.04346028037
164700.0,0.0,8.26208667423552,272.264690261603,272.441752209283,927059.6901911901,0.0,354494.2615947019,447968.5284093855,272.441752209283,364.05825529631323,0.98,0.0,0.0,574567.7330310111,363511.03761265846,46737.13340734181
165600.0,0.0,8.16988062115321,272.892750383672,272.944200306938,895335.439556022,0.0,352322.7106668532,445712.18936505745,272.944200306938,364.05774891721336,0.98,0.0,0.0,540841.17796132,363181.3060485722,46694.73934910214
166500.0,0.0,9.74996573313169,272.223814026207,272.409051220965,1523632.666525114,0.0,354635.5933299695,448115.3784364316,272.409051220965,364.0582882531442,0.98,0.0,0.0,1171309.9558582609,363532.4976362413,46739.89255323104
167400.0,0.0,8.53178331811011,273.158619231202,273.156895384962,1019170.1321439038,0.0,351403.4551334209,444757.0415372086,273.156895384962,364.05753455807326,0.98,0.0,0.0,664534.5388139342,363041.724903619,46676.79320189387
168300.0,0.0,9.15324742933967,271.883639729977,272.136911783982,1261442.8742548204,0.0,355811.7638630907,449337.47249954386,272.136911783982,364.05856252171793,0.98,0.0,0.0,910039.4191213995,363711.0891417621,46762.854318226564
169200.0,0.0,10.2527441636345,273.889251412277,273.741401129822,1766310.9505545958,0.0,348877.2559130288,442132.2069723714,273.741401129822,364.05694547933194,0.98,0.0,0.0,1410499.1866915051,362658.1430085545,46627.475529671305
170100.0,0.0,9.23580694244672,274.007477726963,273.835982181571,1290855.0811944958,0.0,348468.4822075635,441707.47271442343,273.835982181571,364.05685015830664,0.98,0.0,0.0,941977.825281467,362596.07419334445,46619.49525343001
171000.0,0.0,9.16692432193249,274.46640516492,274.203124131936,1261129.767800197,0.0,346881.716436754,440058.75173948985,274.203124131936,364.0564801439485,0.98,0.0,0.0,912661.2855926335,362355.137288417,46588.51765136791
171900.0,0.0,10.3853531016023,273.482541922461,273.416033537969,1837103.429147965,0.0,350283.4753798312,443593.332220299,273.416033537969,364.0572733925016,0.98,0.0,0.0,1490221.712711211,362871.665490708,46654.9284202339
172800.0,0.0,4.71830969358808,264.049941437976,265.869953150381,175302.72273295306,0.0,382897.18800759525,477480.4459134685,265.869953150381,364.06487851114355,0.98,350000.0,-174980.75264687816,350000.0,367823.7807450626,47291.628952936626
173700.0,0.0,4.60901095005569,263.020870066402,265.046696053122,163713.8015933002,0.0,386455.2564364625,481177.4389774982,265.046696053122,364.06570820915573,0.9487534370273432,350000.0,-219183.38641429506,350000.0,368364.04321513895,47361.09127051787
174600.0,0.0,4.81513486924795,265.35634856972,266.915078855776,185865.94714164172,0.0,378380.21659132093,472787.1095344088,266.915078855776,364.0638252086902,0.9096135465962191,350000.0,-200589.3092948208,350000.0,367137.917000897,47203.44647154391
175500.0,0.0,4.88676108262058,261.847387273074,264.107909818459,195558.61259235247,0.0,390512.6349566489,485393.2376747839,264.107909818459,364.06665434017043,0.8737940270792868,350000.0,-182821.60399896847,350000.0,368980.1216816362,47440.301359067525
176400.0,0.0,4.77564039680838,267.655607515636,268.754486012508,180558.9225048524,0.0,370430.40777219133,464526.90075758053,268.754486012508,364.0619714105673,0.841147312079471,350000.0,-209953.7124517965,350000.0,365930.80605429114,47048.24649269458
